%Afkomstig uit HR2006 = HR2001
%Door: Chris Geerse
%Datum: 21 april 2009
%
%PIEKAFVOER	TIJD	AFVOER
16000	18.49780228	5500
16000	19.19208859	5250
16000	19.85516801	5000
16000	20.49056671	4750
16000	21.12441055	4500
16000	21.77703021	4250
16000	22.44679246	4000
16000	23.11753728	3750
16000	23.78828532	3500
16000	24.47542009	3250
16000	25.19362871	3000
16000	25.9705852	2750
16000	26.80932093	2500
16000	27.69095176	2250
16000	28.5923441	2000
16000	29.48277605	1750
16000	30.34104519	1500
16000	31.16774657	1250
16000	31.89265214	1000
16000	32.34738574	750
16000	32.48387229	500
16000	32.50764346	250
16000	32.51364346	0
17250	-25.37854008	0
17250	-25.37454008	250
17250	-25.35869264	500
17250	-25.26770161	750
17250	-24.96454587	1000
17250	-24.48127549	1250
17250	-23.93014124	1500
17250	-23.35796181	1750
17250	-22.76434051	2000
17250	-22.16341229	2250
17250	-21.5756584	2500
17250	-21.01650125	2750
17250	-20.49853025	3000
17250	-20.01972451	3250
17250	-19.56163466	3500
17250	-19.1144693	3750
17250	-18.66730609	4000
17250	-18.22079792	4250
17250	-17.78571815	4500
17250	-17.36315559	4750
17250	-16.93955645	5000
17250	-16.49750351	5250
17250	-16.03464597	5500
17250	-15.5720746	5750
17250	-15.125	6000
17250	-14.44166667	6250
17250	-13.6375	6500
17250	-12.85833333	6750
17250	-12.27083333	7000
17250	-11.65833333	7250
17250	-10.975	7500
17250	-10.2375	8000
17250	-9.7	8500
17250	-9.108333333	9000
17250	-8.395833333	9500
17250	-7.541666667	10000
17250	-6.908333333	10500
17250	-6.075	11000
17250	-5.466666667	11500
17250	-4.808333333	12000
17250	-4.145833333	12500
17250	-3.566666667	13000
17250	-3.216666667	13500
17250	-2.754166667	14000
17250	-2.383333333	14500
17250	-2.033333333	15000
17250	-1.691666667	15500
17250	-1.266666667	16000
17250	-0.854166667	16500
17250	0	17250
17250	1.158333333	16500
17250	1.545833333	16000
17250	1.891666667	15500
17250	2.204166667	15000
17250	2.645833333	14500
17250	3.233333333	14000
17250	3.6625	13500
17250	4.120833333	13000
17250	4.704166667	12500
17250	5.3875	12000
17250	6.075	11500
17250	6.695833333	11000
17250	7.533333333	10500
17250	8.216666667	10000
17250	8.904166667	9500
