%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 7 okt 2008.
%
%Bron:
%Overschrijdingsfrequentie OF volgens Hydra-M HR2006 ("Of_mptop.dmm").
%Dagenlijnen volgens Hydra-M HR2006 ("Of_mpdag.dmm").
%
% NB: aan het eind van het bestand geen monotone afname OF en OD meer, door te kleine getallen.
%
%
%m, m+NAP     OF, 1/whjaar	       OD, dag/whjaar        Dwest, dag/whjaar     ODoost, dag/whjaar
-0.40            6.1408041309          92.2420383215         53.1314140732         39.2951083250
1.06		 0.0000016328	        0.0000008164          0.0000004702          0.0000003478
1.07		 0.0000014719	        0.0000007360          0.0000004239          0.0000003135
1.08		 0.0000013269	        0.0000006635          0.0000003822          0.0000002826
1.09		 0.0000011962	        0.0000005981          0.0000003445          0.0000002548
1.10		 0.0000010784	        0.0000005392          0.0000003106          0.0000002297
1.11		 0.0000009722	        0.0000004861          0.0000002800          0.0000002071
1.12		 0.0000008764	        0.0000004382          0.0000002524          0.0000001867
1.13		 0.0000007901	        0.0000003950          0.0000002275          0.0000001683
1.14		 0.0000007122	        0.0000003561          0.0000002051          0.0000001517
1.15		 0.0000006421	        0.0000003210          0.0000001849          0.0000001368
1.16		 0.0000005788	        0.0000002894          0.0000001667          0.0000001233
1.17		 0.0000005218	        0.0000002609          0.0000001503          0.0000001111
1.18		 0.0000004704	        0.0000002352          0.0000001355          0.0000001002
1.19		 0.0000004241	        0.0000002120          0.0000001221          0.0000000903
1.20		 0.0000003823	        0.0000001912          0.0000001101          0.0000000814
1.21		 0.0000003446	        0.0000001723          0.0000000993          0.0000000734
1.22		 0.0000003107	        0.0000001553          0.0000000895          0.0000000662
1.23		 0.0000002801	        0.0000001400          0.0000000807          0.0000000597
1.24		 0.0000002525	        0.0000001263          0.0000000727          0.0000000538
1.25		 0.0000002276	        0.0000001138          0.0000000656          0.0000000485
1.26		 0.0000002052	        0.0000001026          0.0000000591          0.0000000437
1.27		 0.0000001850	        0.0000000925          0.0000000533          0.0000000394
1.28		 0.0000001668	        0.0000000834          0.0000000480          0.0000000355
1.29		 0.0000001503	        0.0000000752          0.0000000433          0.0000000320
1.30		 0.0000001355	        0.0000000678          0.0000000390          0.0000000289
1.31		 0.0000001222	        0.0000000611          0.0000000352          0.0000000260
1.32		 0.0000001101	        0.0000000551          0.0000000317          0.0000000235
1.33		 0.0000000993	        0.0000000496          0.0000000286          0.0000000212
1.34		 0.0000000895	        0.0000000448          0.0000000258          0.0000000191
1.35		 0.0000000807	        0.0000000403          0.0000000232          0.0000000172
1.36		 0.0000000727	        0.0000000364          0.0000000210          0.0000000155
1.37		 0.0000000656	        0.0000000328          0.0000000189          0.0000000140
1.38		 0.0000000591	        0.0000000296          0.0000000170          0.0000000126
1.39		 0.0000000533	        0.0000000266          0.0000000154          0.0000000114
1.40		 0.0000000480	        0.0000000240          0.0000000138          0.0000000102
1.41		 0.0000000433	        0.0000000217          0.0000000125          0.0000000092
1.42		 0.0000000390	        0.0000000195          0.0000000112          0.0000000083
1.43		 0.0000000352	        0.0000000176          0.0000000101          0.0000000075
1.44		 0.0000000317	        0.0000000159          0.0000000091          0.0000000068
1.45		 0.0000000286	        0.0000000143          0.0000000082          0.0000000061
1.46		 0.0000000258	        0.0000000129          0.0000000074          0.0000000055
1.47		 0.0000000233	        0.0000000116          0.0000000067          0.0000000050
1.48		 0.0000000210	        0.0000000105          0.0000000060          0.0000000045
1.49		 0.0000000189	        0.0000000094          0.0000000054          0.0000000040
1.50		 0.0000000170	        0.0000000085          0.0000000049          0.0000000036
1.51		 0.0000000154	        0.0000000077          0.0000000044          0.0000000033
1.52		 0.0000000138	        0.0000000069          0.0000000040          0.0000000029
1.53		 0.0000000125	        0.0000000062          0.0000000036          0.0000000027
1.54		 0.0000000113	        0.0000000056          0.0000000032          0.0000000024
