%statistiek_Hydra_M_IJsselmeer.txt
%Door: Chris Geerse
%Datum 18 jan 2006.
%
%Bron:
%Overschrijdingsfrequentie OF uit bijlage 8 van [Blaakman et al, 1999].
%Dagenlijnen (omni, west en oost) uit bijlage 9 van [Blaakman et al, 1999].
%
%[Blaakman et al, 1999]:
%Achtergronden Hydraulische Belastingen Dijken IJsselmeergebied. 
%Deelrapport 2: Meerpeilstatistiek. E.J. Blaakman, H. Buiteveld, H.C. van Twuiver,
%A. van Agthoven. RIZA rapport 99.039. RIZA Lelystad, 25 maart 1999.
%
%
%m, m+NAP     OF, 1/whjaar		 OD, dag/whjaar           ODwest, dag/whjaar    ODoost, dag/whjaar
-0.40        6.3289473750        181.9183140049			  131.5766395080		50.3416744969
1.27		 0.0000263460		 0.0000131766			  0.0000127273			0.0000004493
1.28		 0.0000245720		 0.0000122892			  0.0000118758			0.0000004133
1.29		 0.0000229190		 0.0000114623			  0.0000110821			0.0000003802
1.30		 0.0000213780		 0.0000106915			  0.0000103417			0.0000003498
1.31		 0.0000199420		 0.0000099732			  0.0000096514			0.0000003218
1.32		 0.0000186030		 0.0000093034			  0.0000090073			0.0000002961
1.33		 0.0000173560		 0.0000086797			  0.0000084073			0.0000002724
1.34		 0.0000161920		 0.0000080975			  0.0000078468			0.0000002507
1.35		 0.0000151070		 0.0000075548			  0.0000073241			0.0000002307
1.36		 0.0000140960		 0.0000070492			  0.0000068369			0.0000002123
1.37		 0.0000131520		 0.0000065770			  0.0000063817			0.0000001953
1.38		 0.0000122720		 0.0000061369			  0.0000059571			0.0000001798
1.39		 0.0000114520		 0.0000057268			  0.0000055614			0.0000001654
1.40		 0.0000106860		 0.0000053437			  0.0000051914			0.0000001523
1.41		 0.0000099720		 0.0000049866			  0.0000048465			0.0000001401
1.42		 0.0000093060		 0.0000046536			  0.0000045247			0.0000001289
1.43		 0.0000086840		 0.0000043425			  0.0000042238			0.0000001187
1.44		 0.0000081040		 0.0000040524			  0.0000039432			0.0000001092
1.45		 0.0000075630		 0.0000037819			  0.0000036814			0.0000001005
1.46		 0.0000070580		 0.0000035293			  0.0000034368			0.0000000925
1.47		 0.0000065870		 0.0000032938			  0.0000032087			0.0000000851
1.48		 0.0000061480		 0.0000030743			  0.0000029959			0.0000000784
1.49		 0.0000057380		 0.0000028692			  0.0000027971			0.0000000722
1.50		 0.0000053550		 0.0000026777			  0.0000026113			0.0000000664
1.51		 0.0000049978		 0.0000024991			  0.0000024379			0.0000000611
1.52		 0.0000046644		 0.0000023324			  0.0000022761			0.0000000563
1.53		 0.0000043534		 0.0000021769			  0.0000021251			0.0000000518
1.54		 0.0000040631		 0.0000020317			  0.0000019840			0.0000000476
1.55		 0.0000037922		 0.0000018962			  0.0000018523			0.0000000439
1.56		 0.0000035393		 0.0000017698			  0.0000017293			0.0000000404
1.57		 0.0000033034		 0.0000016518			  0.0000016147			0.0000000371
1.58		 0.0000030831		 0.0000015416			  0.0000015075			0.0000000342
1.59		 0.0000028776		 0.0000014389			  0.0000014074			0.0000000314
1.60		 0.0000026858		 0.0000013430			  0.0000013140			0.0000000290
1.61		 0.0000025068		 0.0000012535			  0.0000012268			0.0000000266
1.62		 0.0000023397		 0.0000011699			  0.0000011454			0.0000000245
1.63		 0.0000021837		 0.0000010919			  0.0000010693			0.0000000226
1.64		 0.0000020382		 0.0000010191			  0.0000009983			0.0000000208
1.65		 0.0000019023		 0.0000009512			  0.0000009321			0.0000000191
1.66		 0.0000017755		 0.0000008878			  0.0000008702			0.0000000176
1.67		 0.0000016572		 0.0000008286			  0.0000008125			0.0000000162
1.68		 0.0000015467		 0.0000007734			  0.0000007585			0.0000000149
1.69		 0.0000014437		 0.0000007219			  0.0000007081			0.0000000138
1.70		 0.0000013474		 0.0000006737			  0.0000006611			0.0000000126
1.71		 0.0000012576		 0.0000006288			  0.0000006171			0.0000000117
1.72		 0.0000011738		 0.0000005869			  0.0000005762			0.0000000107
1.73		 0.0000010956		 0.0000005478			  0.0000005380			0.0000000099
1.74		 0.0000010226		 0.0000005113			  0.0000005022			0.0000000091
1.75		 0.0000009544		 0.0000004772			  0.0000004689			0.0000000083
1.76		 0.0000008908		 0.0000004454			  0.0000004378			0.0000000076
1.77		 0.0000008315		 0.0000004157			  0.0000004087			0.0000000071
1.78		 0.0000007761		 0.0000003880			  0.0000003815			0.0000000065
1.79		 0.0000007243		 0.0000003622			  0.0000003562			0.0000000060
1.80		 0.0000006761		 0.0000003380			  0.0000003325			0.0000000055
