*
* Overschrijdingskansen potentiele windsnelheid Deelen. Zonder statistische onzekerheid.
* WTI2017: 12-uursmaxima, gegeven windrichting
*
* Door: K.A. Wojciechowska van HKV lijn in water
* Project: PR3280.10
*
* u         NNO             NO              ONO             O               OZO             ZO              ZZO             Z               ZZW             ZW              WZW             W               WNW             NW              NNW             N
 29.00      1.793e-09      3.530e-09      3.508e-09      1.600e-09      3.436e-10      2.612e-10      3.588e-09      1.520e-08      2.387e-07      8.891e-06      2.050e-05      3.318e-05      1.685e-05      6.825e-06      6.698e-08      2.463e-09 
 29.50      1.138e-09      2.291e-09      2.286e-09      1.032e-09      2.198e-10      1.618e-10      2.356e-09      1.006e-08      1.674e-07      6.931e-06      1.603e-05      2.615e-05      1.310e-05      5.236e-06      4.558e-08      1.563e-09 
 30.00      7.224e-10      1.487e-09      1.490e-09      6.653e-10      1.407e-10      1.002e-10      1.548e-09      6.652e-09      1.174e-07      5.404e-06      1.253e-05      2.061e-05      1.018e-05      4.017e-06      3.102e-08      9.924e-10 
 30.50      4.585e-10      9.649e-10      9.709e-10      4.291e-10      9.013e-11      6.208e-11      1.017e-09      4.400e-09      8.231e-08      4.214e-06      9.797e-06      1.624e-05      7.917e-06      3.082e-06      2.111e-08      6.299e-10 
 31.00      2.910e-10      6.264e-10      6.327e-10      2.767e-10      5.776e-11      3.846e-11      6.688e-10      2.911e-09      5.772e-08      3.287e-06      7.659e-06      1.280e-05      6.157e-06      2.364e-06      1.436e-08      3.998e-10 
 31.50      1.847e-10      4.066e-10      4.123e-10      1.785e-10      3.703e-11      2.383e-11      4.398e-10      1.926e-09      4.047e-08      2.564e-06      5.988e-06      1.009e-05      4.789e-06      1.814e-06      9.776e-09      2.538e-10 
 32.00      1.173e-10      2.640e-10      2.687e-10      1.151e-10      2.375e-11      1.477e-11      2.893e-10      1.274e-09      2.838e-08      2.000e-06      4.682e-06      7.951e-06      3.726e-06      1.392e-06      6.653e-09      1.611e-10 
 32.50      7.443e-11      1.714e-10      1.751e-10      7.424e-11      1.524e-11      9.154e-12      1.904e-10      8.427e-10      1.990e-08      1.560e-06      3.660e-06      6.266e-06      2.899e-06      1.068e-06      4.528e-09      1.022e-10 
 33.00      4.724e-11      1.113e-10      1.141e-10      4.788e-11      9.783e-12      5.674e-12      1.253e-10      5.574e-10      1.396e-08      1.217e-06      2.862e-06      4.939e-06      2.256e-06      8.197e-07      3.081e-09      6.490e-11 
 33.50      2.999e-11      7.230e-11      7.437e-11      3.088e-11      6.282e-12      3.517e-12      8.254e-11      3.687e-10      9.788e-09      9.497e-07      2.238e-06      3.892e-06      1.756e-06      6.290e-07      2.097e-09      4.119e-11 
 34.00      1.903e-11      4.696e-11      4.847e-11      1.992e-11      4.035e-12      2.181e-12      5.436e-11      2.439e-10      6.864e-09      7.410e-07      1.749e-06      3.068e-06      1.367e-06      4.827e-07      1.427e-09      2.615e-11 
 34.50      1.208e-11      3.051e-11      3.159e-11      1.284e-11      2.593e-12      1.352e-12      3.581e-11      1.614e-10      4.814e-09      5.782e-07      1.368e-06      2.418e-06      1.065e-06      3.705e-07      9.714e-10      1.660e-11 
 35.00      7.668e-12      1.982e-11      2.059e-11      8.284e-12      1.666e-12      8.382e-13      2.360e-11      1.067e-10      3.376e-09      4.512e-07      1.069e-06      1.905e-06      8.291e-07      2.843e-07      6.612e-10      1.053e-11 
 35.50      4.867e-12      1.288e-11      1.342e-11      5.343e-12      1.071e-12      5.198e-13      1.555e-11      7.061e-11      2.368e-09      3.522e-07      8.362e-07      1.502e-06      6.458e-07      2.182e-07      4.500e-10      6.687e-12 
 36.00      3.090e-12      8.367e-12      8.744e-12      3.446e-12      6.889e-13      3.223e-13      1.025e-11      4.671e-11      1.660e-09      2.748e-07      6.538e-07      1.184e-06      5.031e-07      1.675e-07      3.063e-10      4.244e-12 
 36.50      1.961e-12      5.437e-12      5.699e-12      2.222e-12      4.431e-13      1.999e-13      6.761e-12      3.090e-11      1.165e-09      2.145e-07      5.112e-07      9.328e-07      3.920e-07      1.285e-07      2.085e-10      2.694e-12 
