% Status data:	Final
%																
% Typ of data:	Exceedance Probability Table                                                                                                                                                                            															
%
%																
%	NOORD		30		60		OOST		120		150		ZUID		210		240		WEST		300		330
%Wind speed	1	2	 	3		4		5		6		7		8		9		10		11		12
29.5	4.57502E-08	1.50295E-10	9.66589E-09	1.35012E-08	3.07029E-08	1.03617E-07	1.10355E-06	2.26883E-06	5.24516E-05	4.84759E-05	6.94597E-06	9.97682E-07
30	3.11427E-08	8.87910E-11	6.43724E-09	9.24412E-09	2.11997E-08	7.24982E-08	7.87172E-07	1.62569E-06	3.99116E-05	3.74123E-05	5.18497E-06	7.25574E-07
30.5	2.11992E-08	5.24557E-11	4.28704E-09	6.32936E-09	1.46379E-08	5.07250E-08	5.61499E-07	1.16486E-06	3.03696E-05	2.88737E-05	3.87043E-06	5.27681E-07
31	1.44306E-08	3.09897E-11	2.85506E-09	4.33366E-09	1.01072E-08	3.54909E-08	4.00523E-07	8.34657E-07	2.31089E-05	2.22839E-05	2.88917E-06	3.83761E-07
31.5	9.82307E-09	1.83080E-11	1.90139E-09	2.96721E-09	6.97879E-09	2.48320E-08	2.85698E-07	5.98058E-07	1.75841E-05	1.71981E-05	2.15668E-06	2.79094E-07
32	6.68669E-09	1.08159E-11	1.26628E-09	2.03162E-09	4.81870E-09	1.73743E-08	2.03791E-07	4.28527E-07	1.33801E-05	1.32730E-05	1.60990E-06	2.02974E-07
32.5	4.55171E-09	6.38978E-12	8.43310E-10	1.39103E-09	3.32721E-09	1.21563E-08	1.45366E-07	3.07053E-07	1.01812E-05	1.02437E-05	1.20175E-06	1.47615E-07
33	3.09841E-09	3.77498E-12	5.61623E-10	9.52429E-10	2.29737E-09	8.50543E-09	1.03692E-07	2.20013E-07	7.74713E-06	7.90578E-06	8.97069E-07	1.07354E-07
33.5	2.10912E-09	2.23010E-12	3.74026E-10	6.52119E-10	1.58628E-09	5.95102E-09	7.39643E-08	1.57646E-07	5.89496E-06	6.10145E-06	6.69637E-07	7.80745E-08
34	1.43571E-09	1.31750E-12	2.49092E-10	4.46500E-10	1.09529E-09	4.16376E-09	5.27595E-08	1.12959E-07	4.48561E-06	4.70892E-06	4.99865E-07	5.67805E-08
